zone,geometry,sum_Hourly Flow_100m_radius
13,"POLYGON ((358474.83598966134 166992.44114594406, 358485.8713582404 167064.62602399458, 358553.39510194573 167085.56415396463, 358609.88342476665 167034.31803536066, 358598.8485601412 166962.13347303186, 358555.8751364203 166948.8075055466, 358559.4088304844 166965.5047712869, 358523.28268800204 166948.4904384612, 358474.83598966134 166992.44114594406))",0
14,"POLYGON ((358485.8713582404 167064.62602399458, 358474.83598966134 166992.44114594406, 358407.3113288453 166971.50241018826, 358350.82198429835 167022.74918195867, 358361.85785685026 167094.93437572737, 358429.38256996975 167115.87248200108, 358485.8713582404 167064.62602399458))",0
15,"POLYGON ((358688.4407028228 167127.43983182817, 358677.4061990524 167055.2561890264, 358609.88342476665 167034.31803536066, 358553.39510194573 167085.56415396463, 358564.43010967603 167157.74811246904, 358631.9529362602 167178.6856366633, 358688.4407028228 167127.43983182817))",0
16,"POLYGON ((358564.43010967603 167157.74811246904, 358553.39510194573 167085.56415396463, 358485.8713582404 167064.62602399458, 358429.38256996975 167115.87248200108, 358440.41808168124 167188.05675620446, 358507.94187767524 167208.99425669742, 358564.43010967603 167157.74811246904))",0
17,"POLYGON ((358642.9875831231 167250.86867560947, 358631.9529362602 167178.6856366633, 358564.43010967603 167157.74811246904, 358507.94187767524 167208.99425669742, 358518.9770285254 167281.17761132494, 358586.4999073822 167302.11450604064, 358642.9875831231 167250.86867560947))",0
18,"POLYGON ((358518.9770285254 167281.17761132494, 358507.94187767524 167208.99425669742, 358440.41808168124 167188.05675620446, 358383.92938426614 167239.30323982827, 358394.9650391223 167311.48691013502, 358462.4888873814 167332.42378113593, 358518.9770285254 167281.17761132494))",0
19,"POLYGON ((358721.5437785481 167343.98771341663, 358710.5094925737 167271.8055940364, 358642.9875831231 167250.86867560947, 358586.4999073822 167302.11450604064, 358597.5346973516 167374.2969410824, 358665.0566590597 167395.23323002865, 358721.5437785481 167343.98771341663))",0
20,"POLYGON ((358080.7156903164 166938.9931694594, 358148.24320707197 166959.9324636436, 358204.73357335024 166908.68503869965, 358193.69697917486 166836.49800583307, 358150.7119904774 166823.16845578636, 358070.2933443698 166870.8265128004, 358080.7156903164 166938.9931694594))",0
21,"POLYGON ((358283.2963540629 167001.81046989147, 358272.26012068865 166929.6243565689, 358204.73357335024 166908.68503869965, 358148.24320707197 166959.9324636436, 358159.27994443197 167032.11889270414, 358226.80654407956 167053.05758107995, 358283.2963540629 167001.81046989147))",0
22,"POLYGON ((358361.85785685026 167094.93437572737, 358350.82198429835 167022.74918195867, 358283.2963540629 167001.81046989147, 358226.80654407956 167053.05758107995, 358237.84292062477 167125.24309056468, 358305.36860315525 167146.181173142, 358361.85785685026 167094.93437572737))",0
23,"POLYGON ((358237.84292062477 167125.24309056468, 358226.80654407956 167053.05758107995, 358159.27994443197 167032.11889270414, 358102.78966903896 167083.36634331214, 358113.826549598 167155.55216851638, 358181.3532015312 167176.49022738886, 358237.84292062477 167125.24309056468))",0
24,"POLYGON ((358440.41808168124 167188.05675620446, 358429.38256996975 167115.87248200108, 358361.85785685026 167094.93437572737, 358305.36860315525 167146.181173142, 358316.40461886616 167218.3657630423, 358383.92938426614 167239.30323982827, 358440.41808168124 167188.05675620446))",0
25,"POLYGON ((358316.40461886616 167218.3657630423, 358305.36860315525 167146.181173142, 358237.84292062477 167125.24309056468, 358181.3532015312 167176.49022738886, 358192.3897212626 167248.67513298825, 358259.9154560619 167269.61258606432, 358316.40461886616 167218.3657630423))",0
26,"POLYGON ((358192.3897212626 167248.67513298825, 358181.3532015312 167176.49022738886, 358113.826549598 167155.55216851638, 358057.33636512875 167206.79964474944, 358068.3733888999 167278.98486604716, 358135.9000930945 167299.92229540995, 358192.3897212626 167248.67513298825))",0
27,"POLYGON ((358394.9650391223 167311.48691013502, 358383.92938426614 167239.30323982827, 358316.40461886616 167218.3657630423, 358259.9154560619 167269.61258606432, 358270.9516149448 167341.7965720503, 358338.47643260006 167362.73341933364, 358394.9650391223 167311.48691013502))",0
28,"POLYGON ((358270.9516149448 167341.7965720503, 358259.9154560619 167269.61258606432, 358192.3897212626 167248.67513298825, 358135.9000930945 167299.92229540995, 358146.9367560242 167372.10659707373, 358214.4625430693 167393.04342063586, 358270.9516149448 167341.7965720503))",0
29,"POLYGON ((358349.51223061583 167434.91648569558, 358338.47643260006 167362.73341933364, 358270.9516149448 167341.7965720503, 358214.4625430693 167393.04342063586, 358225.4988451385 167465.22680265724, 358293.0237150244 167486.16302043153, 358349.51223061583 167434.91648569558))",0
30,"POLYGON ((358891.0043877806 167190.25189345673, 358879.97074883373 167118.06948587392, 358812.4498610868 167097.13191428123, 358755.9625599899 167148.37737972446, 358766.9967028854 167220.56010298862, 358834.51764292375 167241.49704512325, 358891.0043877806 167190.25189345673))",0
31,"POLYGON ((358766.9967028854 167220.56010298862, 358755.9625599899 167148.37737972446, 358688.4407028228 167127.43983182817, 358631.9529362602 167178.6856366633, 358642.9875831231 167250.86867560947, 358710.5094925737 167271.8055940364, 358766.9967028854 167220.56010298862))",0
32,"POLYGON ((358969.5576364479 167283.3703473513, 358958.52435840125 167211.1888592955, 358891.0043877806 167190.25189345673, 358834.51764292375 167241.49704512325, 358845.55142492405 167313.6788488406, 358913.07144782174 167334.61518522346, 358969.5576364479 167283.3703473513))",0
33,"POLYGON ((358845.55142492405 167313.6788488406, 358834.51764292375 167241.49704512325, 358766.9967028854 167220.56010298862, 358710.5094925737 167271.8055940364, 358721.5437785481 167343.98771341663, 358789.06477085344 167364.92402608332, 358845.55142492405 167313.6788488406))",0
34,"POLYGON ((359048.1096070559 167376.48727595864, 359037.0766899315 167304.30670744542, 358969.5576364479 167283.3703473513, 358913.07144782174 167334.61518522346, 358924.10486890655 167406.79606938333, 358991.6239746516 167427.73180002085, 359048.1096070559 167376.48727595864))",0
35,"POLYGON ((358924.10486890655 167406.79606938333, 358913.07144782174 167334.61518522346, 358845.55142492405 167313.6788488406, 358789.06477085344 167364.92402608332, 358800.0986959204 167437.10522588558, 358867.6187710689 167458.0409327963, 358924.10486890655 167406.79606938333))",0
36,"POLYGON ((358800.0986959204 167437.10522588558, 358789.06477085344 167364.92402608332, 358721.5437785481 167343.98771341663, 358665.0566590597 167395.23323002865, 358676.0910881276 167467.4147454733, 358743.6121326758 167488.35042866075, 358800.0986959204 167437.10522588558))",0
37,"POLYGON ((359002.6570348028 167499.91176460905, 358991.6239746516 167427.73180002085, 358924.10486890655 167406.79606938333, 358867.6187710689 167458.0409327963, 358878.6523352087 167530.22121301136, 358946.1714931909 167551.15631418233, 359002.6570348028 167499.91176460905))",0
38,"POLYGON ((358878.6523352087 167530.22121301136, 358867.6187710689 167458.0409327963, 358800.0986959204 167437.10522588558, 358743.6121326758 167488.35042866075, 358754.64620082197 167560.53102449764, 358822.16632820014 167581.46610193333, 358878.6523352087 167530.22121301136))",0
39,"POLYGON ((358957.20469638327 167623.33567479678, 358946.1714931909 167551.15631418233, 358878.6523352087 167530.22121301136, 358822.16632820014 167581.46610193333, 358833.20003540616 167653.64577815263, 358900.7192456003 167674.58024984575, 358957.20469638327 167623.33567479678))",0
40,"POLYGON ((358597.5346973516 167374.2969410824, 358586.4999073822 167302.11450604064, 358518.9770285254 167281.17761132494, 358462.4888873814 167332.42378113593, 358473.52418136323 167404.60653184133, 358541.0471124695 167425.5427970629, 358597.5346973516 167374.2969410824))",0
41,"POLYGON ((358473.52418136323 167404.60653184133, 358462.4888873814 167332.42378113593, 358394.9650391223 167311.48691013502, 358338.47643260006 167362.73341933364, 358349.51223061583 167434.91648569558, 358417.03613111447 167455.8527271974, 358473.52418136323 167404.60653184133))",0
42,"POLYGON ((358676.0910881276 167467.4147454733, 358665.0566590597 167395.23323002865, 358597.5346973516 167374.2969410824, 358541.0471124695 167425.5427970629, 358552.0820455572 167497.72462814994, 358619.6040595004 167518.66028760915, 358676.0910881276 167467.4147454733))",0
43,"POLYGON ((358552.0820455572 167497.72462814994, 358541.0471124695 167425.5427970629, 358473.52418136323 167404.60653184133, 358417.03613111447 167455.8527271974, 358428.0715682423 167528.03487392474, 358495.5945515729 167548.97050964937, 358552.0820455572 167497.72462814994))",0
44,"POLYGON ((358754.64620082197 167560.53102449764, 358743.6121326758 167488.35042866075, 358676.0910881276 167467.4147454733, 358619.6040595004 167518.66028760915, 358630.63863167394 167590.84119907004, 358698.1597284422 167611.776252769, 358754.64620082197 167560.53102449764))",0
45,"POLYGON ((358630.63863167394 167590.84119907004, 358619.6040595004 167518.66028760915, 358552.0820455572 167497.72462814994, 358495.5945515729 167548.97050964937, 358506.6296277949 167621.1517367321, 358574.15169394657 167642.08676669013, 358630.63863167394 167590.84119907004))",0
46,"POLYGON ((358506.6296277949 167621.1517367321, 358495.5945515729 167548.97050964937, 358428.0715682423 167528.03487392474, 358371.5836089267 167579.2810947884, 358382.6191892152 167651.46263749094, 358450.14222474606 167672.39764370653, 358506.6296277949 167621.1517367321))",0
47,"POLYGON ((358709.19393968093 167683.95624459104, 358698.1597284422 167611.776252769, 358630.63863167394 167590.84119907004, 358574.15169394657 167642.08676669013, 358585.18640924105 167714.26707411843, 358652.7075582017 167735.2014983176, 358709.19393968093 167683.95624459104))",0
48,"POLYGON ((358585.18640924105 167714.26707411843, 358574.15169394657 167642.08676669013, 358506.6296277949 167621.1517367321, 358450.14222474606 167672.39764370653, 358461.177444114 167744.57826673548, 358528.69956245157 167765.51266718586, 358585.18640924105 167714.26707411843))",0
49,"POLYGON ((358663.7419125499 167807.3808860787, 358652.7075582017 167735.2014983176, 358585.18640924105 167714.26707411843, 358528.69956245157 167765.51266718586, 358539.734420879 167837.69237052707, 358607.25562200975 167858.6261652186, 358663.7419125499 167807.3808860787))",0
50,"POLYGON ((358225.4988451385 167465.22680265724, 358214.4625430693 167393.04342063586, 358146.9367560242 167372.10659707373, 358090.44721882103 167423.3537850497, 358101.4840249635 167495.5374827276, 358169.00986423076 167516.4736767694, 358225.4988451385 167465.22680265724))",0
51,"POLYGON ((358428.0715682423 167528.03487392474, 358417.03613111447 167455.8527271974, 358349.51223061583 167434.91648569558, 358293.0237150244 167486.16302043153, 358304.0596562124 167558.3454827984, 358371.5836089267 167579.2810947884, 358428.0715682423 167528.03487392474))",0
52,"POLYGON ((358304.0596562124 167558.3454827984, 358293.0237150244 167486.16302043153, 358225.4988451385 167465.22680265724, 358169.00986423076 167516.4736767694, 358180.04630949954 167588.65645477735, 358247.5712315907 167609.59204302775, 358304.0596562124 167558.3454827984))",0
53,"POLYGON ((358180.04630949954 167588.65645477735, 358169.00986423076 167516.4736767694, 358101.4840249635 167495.5374827276, 358044.9945787628 167546.78469622106, 358056.03152813204 167618.96778986568, 358123.5574195959 167639.90335437586, 358180.04630949954 167588.65645477735))",0
54,"POLYGON ((358382.6191892152 167651.46263749094, 358371.5836089267 167579.2810947884, 358304.0596562124 167558.3454827984, 358247.5712315907 167609.59204302775, 358258.60731596634 167681.77390135213, 358326.1313208703 167702.7088838204, 358382.6191892152 167651.46263749094))",0
55,"POLYGON ((358258.60731596634 167681.77390135213, 358247.5712315907 167609.59204302775, 358180.04630949954 167588.65645477735, 358123.5574195959 167639.90335437586, 358134.5940080776 167712.0855283179, 358202.118982351 167733.02048703947, 358258.60731596634 167681.77390135213))",0
56,"POLYGON ((358461.177444114 167744.57826673548, 358450.14222474606 167672.39764370653, 358382.6191892152 167651.46263749094, 358326.1313208703 167702.7088838204, 358337.16704433307 167774.8898224528, 358404.69013203913 167795.8241991466, 358461.177444114 167744.57826673548))",0
57,"POLYGON ((358337.16704433307 167774.8898224528, 358326.1313208703 167702.7088838204, 358258.60731596634 167681.77390135213, 358202.118982351 167733.02048703947, 358213.1552099266 167805.20174126967, 358280.6792669973 167826.13609420904, 358337.16704433307 167774.8898224528))",0
58,"POLYGON ((358213.1552099266 167805.20174126967, 358202.118982351 167733.02048703947, 358134.5940080776 167712.0855283179, 358078.10520921776 167763.3324533659, 358089.14194092725 167835.51402319391, 358156.66696735675 167856.4483523732, 358213.1552099266 167805.20174126967))",0
59,"POLYGON ((358415.7254945681 167868.00421807286, 358404.69013203913 167795.8241991466, 358337.16704433307 167774.8898224528, 358280.6792669973 167826.13609420904, 358291.7151336469 167898.31642871542, 358359.23827350425 167919.25017588114, 358415.7254945681 167868.00421807286))",0
60,"POLYGON ((358833.20003540616 167653.64577815263, 358822.16632820014 167581.46610193333, 358754.64620082197 167560.53102449764, 358698.1597284422 167611.776252769, 358709.19393968093 167683.95624459104, 358776.714119262 167704.890692539, 358833.20003540616 167653.64577815263))",0
61,"POLYGON ((359035.75577940984 167716.44861123688, 359024.7229371858 167644.27017023158, 358957.20469638327 167623.33567479678, 358900.7192456003 167674.58024984575, 358911.75259184605 167746.7590064368, 358979.2708848458 167767.6928723916, 359035.75577940984 167716.44861123688))",0
62,"POLYGON ((358911.75259184605 167746.7590064368, 358900.7192456003 167674.58024984575, 358833.20003540616 167653.64577815263, 358776.714119262 167704.890692539, 358787.7479695486 167777.06976471504, 358855.26723193127 167798.00360692042, 358911.75259184605 167746.7590064368))",0
63,"POLYGON ((358787.7479695486 167777.06976471504, 358776.714119262 167704.890692539, 358709.19393968093 167683.95624459104, 358652.7075582017 167735.2014983176, 358663.7419125499 167807.3808860787, 358731.262144309 167828.3147045254, 358787.7479695486 167777.06976471504))",0
64,"POLYGON ((358990.30387011066 167839.8707093459, 358979.2708848458 167767.6928723916, 358911.75259184605 167746.7590064368, 358855.26723193127 167798.00360692042, 358866.30072124465 167870.18175944133, 358933.81906641845 167891.1149959084, 358990.30387011066 167839.8707093459))",0
65,"POLYGON ((358866.30072124465 167870.18175944133, 358855.26723193127 167798.00360692042, 358787.7479695486 167777.06976471504, 358731.262144309 167828.3147045254, 358742.2961376901 167900.49317261082, 358809.81545223674 167921.4263853178, 358866.30072124465 167870.18175944133))",0
66,"POLYGON ((358944.85219473805 167963.29222875927, 358933.81906641845 167891.1149959084, 358866.30072124465 167870.18175944133, 358809.81545223674 167921.4263853178, 358820.8490846301 167993.60393371334, 358888.3674819522 168014.53654068348, 358944.85219473805 167963.29222875927))",0
67,"POLYGON ((358820.8490846301 167993.60393371334, 358809.81545223674 167921.4263853178, 358742.2961376901 167900.49317261082, 358685.81040339236 167951.73813780694, 358696.84453988174 168023.91600174934, 358764.36390656786 168044.848584948, 358820.8490846301 167993.60393371334))",0
68,"POLYGON ((359023.40238999703 168056.40117267455, 359012.36962269136 167984.22485950222, 358944.85219473805 167963.29222875927, 358888.3674819522 168014.53654068348, 358899.4007533409 168086.71316938422, 358966.9182334264 168107.6451706281, 359023.40238999703 168056.40117267455))",0
69,"POLYGON ((358899.4007533409 168086.71316938422, 358888.3674819522 168014.53654068348, 358820.8490846301 167993.60393371334, 358764.36390656786 168044.848584948, 358775.39768205624 168117.0255291729, 358842.91613150213 168137.95750663755, 358899.4007533409 168086.71316938422))",0
70,"POLYGON ((358539.734420879 167837.69237052707, 358528.69956245157 167765.51266718586, 358461.177444114 167744.57826673548, 358404.69013203913 167795.8241991466, 358415.7254945681 167868.00421807286, 358483.247665065 167888.9379890015, 358539.734420879 167837.69237052707))",0
71,"POLYGON ((358742.2961376901 167900.49317261082, 358731.262144309 167828.3147045254, 358663.7419125499 167807.3808860787, 358607.25562200975 167858.6261652186, 358618.2901194783 167930.80494886712, 358685.81040339236 167951.73813780694, 358742.2961376901 167900.49317261082))",0
72,"POLYGON ((358618.2901194783 167930.80494886712, 358607.25562200975 167858.6261652186, 358539.734420879 167837.69237052707, 358483.247665065 167888.9379890015, 358494.2826666408 167961.11708821455, 358561.80391991744 167982.05025338504, 358618.2901194783 167930.80494886712))",0
73,"POLYGON ((358494.2826666408 167961.11708821455, 358483.247665065 167888.9379890015, 358415.7254945681 167868.00421807286, 358359.23827350425 167919.25017588114, 358370.2737792072 167991.4295906523, 358437.79600184166 168012.3627320535, 358494.2826666408 167961.11708821455))",0
74,"POLYGON ((358696.84453988174 168023.91600174934, 358685.81040339236 167951.73813780694, 358618.2901194783 167930.80494886712, 358561.80391991744 167982.05025338504, 358572.83856051974 168054.22843287, 358640.3588965634 168075.16099229228, 358696.84453988174 168023.91600174934))",0
75,"POLYGON ((358572.83856051974 168054.22843287, 358561.80391991744 167982.05025338504, 358494.2826666408 167961.11708821455, 358437.79600184166 168012.3627320535, 358448.831146577 168084.54122708313, 358516.3524519744 168105.47376272694, 358572.83856051974 168054.22843287))",0
76,"POLYGON ((358651.39317617443 168147.33825204347, 358640.3588965634 168075.16099229228, 358572.83856051974 168054.22843287, 358516.3524519744 168105.47376272694, 358527.387235725 168177.65133800014, 358594.9076238755 168198.58326789434, 358651.39317617443 168147.33825204347))",0
77,"POLYGON ((358527.387235725 168177.65133800014, 358516.3524519744 168105.47376272694, 358448.831146577 168084.54122708313, 358392.34457282984 168135.78689624986, 358403.37986074144 168207.96478705003, 358470.90121823514 168228.8966931551, 358527.387235725 168177.65133800014))",0
78,"POLYGON ((358729.9465135728 168240.4465457286, 358718.9125949752 168168.27020572394, 358651.39317617443 168147.33825204347, 358594.9076238755 168198.58326789434, 358605.9420466213 168270.75992340402, 358673.46151751216 168291.6912475578, 358729.9465135728 168240.4465457286))",0
79,"POLYGON ((358605.9420466213 168270.75992340402, 358594.9076238755 168198.58326789434, 358527.387235725 168177.65133800014, 358470.90121823514 168228.8966931551, 358481.9361451478 168301.07366416772, 358549.4565853786 168322.00496452244, 358605.9420466213 168270.75992340402))",0
80,"POLYGON ((358291.7151336469 167898.31642871542, 358280.6792669973 167826.13609420904, 358213.1552099266 167805.20174126967, 358156.66696735675 167856.4483523732, 358167.7033381472 167928.62900246034, 358235.22744735976 167949.56272586103, 358291.7151336469 167898.31642871542))",0
81,"POLYGON ((358370.2737792072 167991.4295906523, 358359.23827350425 167919.25017588114, 358291.7151336469 167898.31642871542, 358235.22744735976 167949.56272586103, 358246.2634572092 168021.7424561946, 358313.78664919396 168042.67557382083, 358370.2737792072 167991.4295906523))",0
82,"POLYGON ((358246.2634572092 168021.7424561946, 358235.22744735976 167949.56272586103, 358167.7033381472 167928.62900246034, 358111.21518666006 167979.87563894613, 358122.2517006777 168052.0556848407, 358189.77586200787 168072.98877868842, 358246.2634572092 168021.7424561946))",0
83,"POLYGON ((358448.831146577 168084.54122708313, 358437.79600184166 168012.3627320535, 358370.2737792072 167991.4295906523, 358313.78664919396 168042.67557382083, 358324.82229808415 168114.85438438947, 358392.34457282984 168135.78689624986, 358448.831146577 168084.54122708313))",0
84,"POLYGON ((358324.82229808415 168114.85438438947, 358313.78664919396 168042.67557382083, 358246.2634572092 168021.7424561946, 358189.77586200787 168072.98877868842, 358200.81201507215 168145.16790480108, 358268.33525915915 168166.10039287724, 358324.82229808415 168114.85438438947))",0
85,"POLYGON ((358200.81201507215 168145.16790480108, 358189.77586200787 168072.98877868842, 358122.2517006777 168052.0556848407, 358065.7636403127 168103.30234666128, 358076.8002975703 168175.48178831645, 358144.3245109951 168196.41425260424, 358200.81201507215 168145.16790480108))",0
86,"POLYGON ((358403.37986074144 168207.96478705003, 358392.34457282984 168135.78689624986, 358324.82229808415 168114.85438438947, 358268.33525915915 168166.10039287724, 358279.371051252 168238.27859919594, 358346.89337808377 168259.21048150695, 358403.37986074144 168207.96478705003))",0
87,"POLYGON ((358279.371051252 168238.27859919594, 358268.33525915915 168166.10039287724, 358200.81201507215 168145.16790480108, 358144.3245109951 168196.41425260424, 358155.360807287 168268.59277444496, 358222.88410345244 168289.52463296114, 358279.371051252 168238.27859919594))",0
88,"POLYGON ((358357.92880918307 168331.38776802458, 358346.89337808377 168259.21048150695, 358279.371051252 168238.27859919594, 358222.88410345244 168289.52463296114, 358233.92003875936 168361.7022349803, 358301.4424176541 168382.63348773058, 358357.92880918307 168331.38776802458))",0
89,"POLYGON ((358233.92003875936 168361.7022349803, 358222.88410345244 168289.52463296114, 358155.360807287 168268.59277444496, 358098.87339437194 168319.8391475185, 358109.9098339063 168392.01706503914, 358177.43318212405 168412.948293984, 358233.92003875936 168361.7022349803))",0
90,"POLYGON ((358775.39768205624 168117.0255291729, 358764.36390656786 168044.848584948, 358696.84453988174 168023.91600174934, 358640.3588965634 168075.16099229228, 358651.39317617443 168147.33825204347, 358718.9125949752 168168.27020572394, 358775.39768205624 168117.0255291729))",0
91,"POLYGON ((358977.951143788 168179.8208796205, 358966.9182334264 168107.6451706281, 358899.4007533409 168086.71316938422, 358842.91613150213 168137.95750663755, 358853.9495459723 168210.13353113644, 358921.467078166 168231.06490287487, 358977.951143788 168179.8208796205))",0
92,"POLYGON ((358853.9495459723 168210.13353113644, 358842.91613150213 168137.95750663755, 358775.39768205624 168117.0255291729, 358718.9125949752 168168.27020572394, 358729.9465135728 168240.4465457286, 358797.4650151175 168261.37789367506, 358853.9495459723 168210.13353113644))",0
93,"POLYGON ((358932.5001315976 168303.2400076358, 358921.467078166 168231.06490287487, 358853.9495459723 168210.13353113644, 358797.4650151175 168261.37789367506, 358808.4985726833 168333.55331392115, 358876.0161569626 168354.4840561449, 358932.5001315976 168303.2400076358))",0.117360963
94,"POLYGON ((358808.4985726833 168333.55331392115, 358797.4650151175 168261.37789367506, 358729.9465135728 168240.4465457286, 358673.46151751216 168291.6912475578, 358684.49557923124 168363.86698329053, 358752.01413285173 168384.79770170676, 358808.4985726833 168333.55331392115))",0.110485832
95,"POLYGON ((359011.0494389015 168396.344958668, 359000.01674653013 168324.17077365355, 358932.5001315976 168303.2400076358, 358876.0161569626 168354.4840561449, 358887.0493534759 168426.65855662466, 358954.5660204775 168447.5886931285, 359011.0494389015 168396.344958668))",0.088043344
96,"POLYGON ((358887.0493534759 168426.65855662466, 358876.0161569626 168354.4840561449, 358808.4985726833 168333.55331392115, 358752.01413285173 168384.79770170676, 358763.0478335268 168456.97251765756, 358830.56546986615 168477.90263035177, 358887.0493534759 168426.65855662466))",0.198529175
97,"POLYGON ((358965.59885591967 168519.7622738342, 358954.5660204775 168447.5886931285, 358887.0493534759 168426.65855662466, 358830.56546986615 168477.90263035177, 358841.59880947525 168550.07652650296, 358909.1155285207 168571.0060334794, 358965.59885591967 168519.7622738342))",0.30239299
98,"POLYGON ((358841.59880947525 168550.07652650296, 358830.56546986615 168477.90263035177, 358763.0478335268 168456.97251765756, 358706.5634847558 168508.21693065262, 358717.59732855385 168580.39114225365, 358785.1150169283 168601.32062540844, 358841.59880947525 168550.07652650296))",0.432000337
99,"POLYGON ((359044.14707998064 168612.8644655419, 359033.11460563156 168540.6918046259, 358965.59885591967 168519.7622738342, 358909.1155285207 168571.0060334794, 358920.1485070463 168643.17900982534, 358987.6643087884 168664.10791109252, 359044.14707998064 168612.8644655419))",0.175403407
100,"POLYGON ((359016.33146908507 166747.7833392606, 359027.364678957 166819.9675581411, 359094.88449260156 166840.90641229873, 359151.3710440043 166789.6616769893, 359147.4405875784 166763.94558060064, 359055.0843864067 166735.61669350637, 359051.2302689784 166716.1229851563, 359016.33146908507 166747.7833392606))",0
101,"POLYGON ((359229.9222333535 166882.78353853384, 359218.88988819806 166810.60055481497, 359151.3710440043 166789.6616769893, 359094.88449260156 166840.90641229873, 359105.91734161053 166913.08971173858, 359173.4362381629 166934.0279601459, 359229.9222333535 166882.78353853384))",0
102,"POLYGON ((359105.91734161053 166913.08971173858, 359094.88449260156 166840.90641229873, 359027.364678957 166819.9675581411, 358970.87766196654 166871.212632853, 358981.9110148493 166943.39624801883, 359049.4308808436 166964.33447274537, 359105.91734161053 166913.08971173858))",0
103,"POLYGON ((359308.47214472375 166975.90387490584, 359297.4401604579 166903.7218106198, 359229.9222333535 166882.78353853384, 359173.4362381629 166934.0279601459, 359184.4687262891 167006.2103401366, 359251.9867057383 167027.14798280562, 359308.47214472375 166975.90387490584))",0
104,"POLYGON ((359184.4687262891 167006.2103401366, 359173.4362381629 166934.0279601459, 359105.91734161053 166913.08971173858, 359049.4308808436 166964.33447274537, 359060.4638728505 167036.51716843795, 359127.98282173765 167057.45478741912, 359184.4687262891 167006.2103401366))",0
